vorm,modus,tempus,genus,persoon,getal,stam
o,indicativus,praesens,activum,eerste,singularis,praesens
s,indicativus,praesens,activum,tweede,singularis,praesens
t,indicativus,praesens,activum,derde,singularis,praesens
mus,indicativus,praesens,activum,eerste,pluralis,praesens
tis,indicativus,praesens,activum,tweede,pluralis,praesens
nt,indicativus,praesens,activum,derde,pluralis,praesens
bam,indicativus,imperfectum,activum,eerste,singularis,praesens
bas,indicativus,imperfectum,activum,tweede,singularis,praesens
bat,indicativus,imperfectum,activum,derde,singularis,praesens
bamus,indicativus,imperfectum,activum,eerste,pluralis,praesens
batis,indicativus,imperfectum,activum,tweede,pluralis,praesens
bant,indicativus,imperfectum,activum,derde,pluralis,praesens
bo,indicativus,futurum,activum,eerste,singularis,praesens
bis,indicativus,futurum,activum,tweede,singularis,praesens
bit,indicativus,futurum,activum,derde,singularis,praesens
bimus,indicativus,futurum,activum,eerste,pluralis,praesens
bitis,indicativus,futurum,activum,tweede,pluralis,praesens
bunt,indicativus,futurum,activum,derde,pluralis,praesens
i,indicativus,perfectum,activum,eerste,singularis,perfectum
isti,indicativus,perfectum,activum,tweede,singularis,perfectum
it,indicativus,perfectum,activum,derde,singularis,perfectum
imus,indicativus,perfectum,activum,eerste,pluralis,perfectum
istis,indicativus,perfectum,activum,tweede,pluralis,perfectum
erunt,indicativus,perfectum,activum,derde,pluralis,perfectum
eram,indicativus,plusquamperfectum,activum,eerste,singularis,perfectum
eras,indicativus,plusquamperfectum,activum,tweede,singularis,perfectum
erat,indicativus,plusquamperfectum,activum,derde,singularis,perfectum
eramus,indicativus,plusquamperfectum,activum,eerste,pluralis,perfectum
eratis,indicativus,plusquamperfectum,activum,tweede,pluralis,perfectum
erant,indicativus,plusquamperfectum,activum,derde,pluralis,perfectum
ero,indicativus,futurum exactum,activum,eerste,singularis,perfectum
eris,indicativus,futurum exactum,activum,tweede,singularis,perfectum
erit,indicativus,futurum exactum,activum,derde,singularis,perfectum
erimus,indicativus,futurum exactum,activum,eerste,pluralis,perfectum
eritis,indicativus,futurum exactum,activum,tweede,pluralis,perfectum
erint,indicativus,futurum exactum,activum,derde,pluralis,perfectum
or,indicativus,praesens,passivum,eerste,singularis,praesens
ris,indicativus,praesens,passivum,tweede,singularis,praesens
tur,indicativus,praesens,passivum,derde,singularis,praesens
mur,indicativus,praesens,passivum,eerste,pluralis,praesens
mini,indicativus,praesens,passivum,tweede,pluralis,praesens
ntur,indicativus,praesens,passivum,derde,pluralis,praesens
bar,indicativus,imperfectum,passivum,eerste,singularis,praesens
baris,indicativus,imperfectum,passivum,tweede,singularis,praesens
batur,indicativus,imperfectum,passivum,derde,singularis,praesens
bamur,indicativus,imperfectum,passivum,eerste,pluralis,praesens
bamini,indicativus,imperfectum,passivum,tweede,pluralis,praesens
bantur,indicativus,imperfectum,passivum,derde,pluralis,praesens
bor,indicativus,futurum,passivum,eerste,singularis,praesens
beris,indicativus,futurum,passivum,tweede,singularis,praesens
bitur,indicativus,futurum,passivum,derde,singularis,praesens
bimur,indicativus,futurum,passivum,eerste,pluralis,praesens
bimini,indicativus,futurum,passivum,tweede,pluralis,praesens
buntur,indicativus,futurum,passivum,derde,pluralis,praesens
us sum,indicativus,perfectum,passivum,eerste,singularis,supinum
us es,indicativus,perfectum,passivum,tweede,singularis,supinum
us est,indicativus,perfectum,passivum,derde,singularis,supinum
i sumus,indicativus,perfectum,passivum,eerste,pluralis,supinum
i estis,indicativus,perfectum,passivum,tweede,pluralis,supinum
i sunt,indicativus,perfectum,passivum,derde,pluralis,supinum
us eram,indicativus,plusquamperfectum,passivum,eerste,singularis,supinum
us eras,indicativus,plusquamperfectum,passivum,tweede,singularis,supinum
us erat,indicativus,plusquamperfectum,passivum,derde,singularis,supinum
i eramus,indicativus,plusquamperfectum,passivum,eerste,pluralis,supinum
i eratis,indicativus,plusquamperfectum,passivum,tweede,pluralis,supinum
i erant,indicativus,plusquamperfectum,passivum,derde,pluralis,supinum
us ero,indicativus,futurum exactum,passivum,eerste,singularis,supinum
us eris,indicativus,futurum exactum,passivum,tweede,singularis,supinum
us erit,indicativus,futurum exactum,passivum,derde,singularis,supinum
i erimus,indicativus,futurum exactum,passivum,eerste,pluralis,supinum
i eritis,indicativus,futurum exactum,passivum,tweede,pluralis,supinum
i erunt,indicativus,futurum exactum,passivum,derde,pluralis,supinum
am,coniunctivus,praesens,activum,eerste,singularis,praesens
as,coniunctivus,praesens,activum,tweede,singularis,praesens
at,coniunctivus,praesens,activum,derde,singularis,praesens
amus,coniunctivus,praesens,activum,eerste,pluralis,praesens
atis,coniunctivus,praesens,activum,tweede,pluralis,praesens
ant,coniunctivus,praesens,activum,derde,pluralis,praesens
rem,coniunctivus,imperfectum,activum,eerste,singularis,praesens
res,coniunctivus,imperfectum,activum,tweede,singularis,praesens
ret,coniunctivus,imperfectum,activum,derde,singularis,praesens
remus,coniunctivus,imperfectum,activum,eerste,pluralis,praesens
retis,coniunctivus,imperfectum,activum,tweede,pluralis,praesens
rent,coniunctivus,imperfectum,activum,derde,pluralis,praesens
erim,coniunctivus,perfectum,activum,eerste,singularis,perfectum
eris,coniunctivus,perfectum,activum,tweede,singularis,perfectum
erit,coniunctivus,perfectum,activum,derde,singularis,perfectum
erimus,coniunctivus,perfectum,activum,eerste,pluralis,perfectum
eritis,coniunctivus,perfectum,activum,tweede,pluralis,perfectum
erint,coniunctivus,perfectum,activum,derde,pluralis,perfectum
issem,coniunctivus,plusquamperfectum,activum,eerste,singularis,perfectum
isses,coniunctivus,plusquamperfectum,activum,tweede,singularis,perfectum
isset,coniunctivus,plusquamperfectum,activum,derde,singularis,perfectum
issemus,coniunctivus,plusquamperfectum,activum,eerste,pluralis,perfectum
issetis,coniunctivus,plusquamperfectum,activum,tweede,pluralis,perfectum
issent,coniunctivus,plusquamperfectum,activum,derde,pluralis,perfectum
ar,coniunctivus,praesens,passivum,eerste,singularis,praesens
aris,coniunctivus,praesens,passivum,tweede,singularis,praesens
atur,coniunctivus,praesens,passivum,derde,singularis,praesens
amur,coniunctivus,praesens,passivum,eerste,pluralis,praesens
amini,coniunctivus,praesens,passivum,tweede,pluralis,praesens
antur,coniunctivus,praesens,passivum,derde,pluralis,praesens
rer,coniunctivus,imperfectum,passivum,eerste,singularis,praesens
reris,coniunctivus,imperfectum,passivum,tweede,singularis,praesens
retur,coniunctivus,imperfectum,passivum,derde,singularis,praesens
remur,coniunctivus,imperfectum,passivum,eerste,pluralis,praesens
remini,coniunctivus,imperfectum,passivum,tweede,pluralis,praesens
rentur,coniunctivus,imperfectum,passivum,derde,pluralis,praesens
us sim,coniunctivus,perfectum,passivum,eerste,singularis,supinum
us sis,coniunctivus,perfectum,passivum,tweede,singularis,supinum
us sit,coniunctivus,perfectum,passivum,derde,singularis,supinum
i simus,coniunctivus,perfectum,passivum,eerste,pluralis,supinum
i sitis,coniunctivus,perfectum,passivum,tweede,pluralis,supinum
i sint,coniunctivus,perfectum,passivum,derde,pluralis,supinum
us essem,coniunctivus,plusquamperfectum,passivum,eerste,singularis,supinum
us esses,coniunctivus,plusquamperfectum,passivum,tweede,singularis,supinum
us esset,coniunctivus,plusquamperfectum,passivum,derde,singularis,supinum
i essemus,coniunctivus,plusquamperfectum,passivum,eerste,pluralis,supinum
i essetis,coniunctivus,plusquamperfectum,passivum,tweede,pluralis,supinum
i essent,coniunctivus,plusquamperfectum,passivum,derde,pluralis,supinum
,imperativus,praesens,activum,tweede,singularis,praesens
te,imperativus,praesens,activum,tweede,pluralis,praesens
ns,participium,praesens,activum,,singularis,infinitivus
us,participium,perfectum,passivum,,singularis,supinum
urus,participium,futurum,activum,,singularis,supinum
re,infinitivus,praesens,activum,,,infinitivus
isse,infinitivus,perfectum,activum,,,perfectum
urus esse,infinitivus,futurum,activum,,,supinum
ri,infinitivus,praesens,passivum,,,infinitivus
us esse,infinitivus,perfectum,passivum,,,supinum
um iri,infinitivus,futurum,passivum,,,supinum
